MIN=0	-3	0	
MAX=40	3	0.5	
SCALE=10	1	0.1	
DEC=0	3	4	
DEF="Time" t / s	"Voltage" U_B1 / V	"Frequency" f / Hz	
0	0.0105	NAN	
1	0.0105	NAN	
2.006	0.0105	NAN	
3	0.0105	NAN	
4	0.0105	NAN	
5	0.0105	NAN	
6	0.0105	NAN	
7.005	0.0105	NAN	
8	0.0105	NAN	
9	0.0105	NAN	
10	0.0105	NAN	
11	0.0105	NAN	
12	0.0105	NAN	
13	0.0105	NAN	
14	0.0105	NAN	
15	0.0105	NAN	
16	0.0105	NAN	
17	0.0105	NAN	
18	0.0105	NAN	
19	0.0105	NAN	
20	0.0105	NAN	
21	0.0105	NAN	
22	0.0105	NAN	
23	0.0105	NAN	
24	0.0105	NAN	
25	0.0105	NAN	
26	0.0105	NAN	
27	0.0105	NAN	
28	0.0105	NAN	
29	0.0105	NAN	
30.004	0.0105	NAN	
